Date,Close/Last,Volume,Open,High,Low
07/17/2026,$346.7699890136719,29929300,$346,$348.5199890136719,$341.3599853515625
07/16/2026,$354.4599914550781,41158500,$373.05999755859375,$375.2699890136719,$352.29998779296875
07/15/2026,$370.9200134277344,28284600,$357.9700012207031,$373.6499938964844,$357.760009765625
07/14/2026,$359.510009765625,18259400,$351.20001220703125,$360.1600036621094,$351.0899963378906
07/13/2026,$352.510009765625,15901700,$356.19000244140625,$358.1300048828125,$351.75
07/10/2026,$357.17999267578125,18146100,$357.5299987792969,$357.82000732421875,$352.75
07/09/2026,$358.8900146484375,24729100,$354.30999755859375,$359.6499938964844,$351.0799865722656
07/08/2026,$361.9200134277344,22094800,$364.760009765625,$367.8399963378906,$358.0199890136719
07/07/2026,$367.0299987792969,24045600,$369.07000732421875,$373.1600036621094,$365.5
07/06/2026,$366.4599914550781,26915800,$361.54998779296875,$367.92999267578125,$357.3800048828125
07/02/2026,$359.9100036621094,25974800,$359.4800109863281,$364.2099914550781,$353.4200134277344
07/01/2026,$361.2099914550781,26736400,$358.3699951171875,$362.9700012207031,$356.42999267578125
06/30/2026,$357.3699951171875,35237200,$353.8699951171875,$358.6199951171875,$350.3999938964844
06/29/2026,$353.6499938964844,34213900,$341.8299865722656,$354.3500061035156,$340.6700134277344
06/26/2026,$337.3900146484375,114706300,$342.54998779296875,$346.3599853515625,$330.20001220703125
06/25/2026,$343.7099914550781,44491400,$336.7300109863281,$345.57000732421875,$335.8399963378906
06/24/2026,$345.2900085449219,44997300,$349.0400085449219,$353.4800109863281,$341.92999267578125
06/23/2026,$346.1300048828125,34007700,$340.69000244140625,$349.2900085449219,$340.20001220703125
06/22/2026,$349.67999267578125,52814800,$357.95001220703125,$358.9200134277344,$341.7200012207031
06/18/2026,$368.0299987792969,44470100,$365.75,$369.4800109863281,$358.6700134277344
06/17/2026,$363.7900085449219,24543600,$369.1300048828125,$372.3299865722656,$362.0199890136719
06/16/2026,$373.25,24876100,$369.6000061035156,$376,$367.05999755859375
06/15/2026,$369.3500061035156,27727500,$367.92999267578125,$372.989990234375,$366.54998779296875
06/12/2026,$359.67999267578125,24704600,$362.6199951171875,$366.57000732421875,$354.94000244140625
06/11/2026,$357.7699890136719,35538200,$355.92999267578125,$358.79998779296875,$346.3599853515625
06/10/2026,$356.3800048828125,32357100,$363.19000244140625,$368.55999755859375,$355.20001220703125
