Date,Close/Last,Volume,Open,High,Low
07/17/2026,$393.82000732421875,33010300,$394.8599853515625,$398.3900146484375,$389.3900146484375
07/16/2026,$401.1000061035156,37047400,$398.30999755859375,$405.989990234375,$392.04998779296875
07/15/2026,$395.6300048828125,36253700,$387.79998779296875,$398.9599914550781,$386.3999938964844
07/14/2026,$384.92999267578125,27863900,$382.82000732421875,$388.19000244140625,$378.6499938964844
07/13/2026,$390.989990234375,28914900,$387.75,$393.6499938964844,$384.1499938964844
07/10/2026,$385.1000061035156,24644600,$387.79998779296875,$391.9100036621094,$381.5
07/09/2026,$384.3599853515625,31083200,$374.45001220703125,$384.6499938964844,$373.3500061035156
07/08/2026,$383.3399963378906,25908300,$384.0299987792969,$385.30999755859375,$381.3299865722656
07/07/2026,$388.8399963378906,29297500,$392.489990234375,$395.57000732421875,$388.2200012207031
07/06/2026,$386.739990234375,34224500,$387.0400085449219,$389.1499938964844,$381.2200012207031
07/02/2026,$390.489990234375,42128900,$384.4800109863281,$392.20001220703125,$383.70001220703125
07/01/2026,$384.2799987792969,48065800,$380.8299865722656,$388.8299865722656,$374.8900146484375
06/30/2026,$373.0199890136719,44945700,$371.0299987792969,$374.1499938964844,$367.45001220703125
06/29/2026,$368.57000732421875,51229900,$377.5,$380.5,$359.8999938964844
06/26/2026,$372.9700012207031,186201600,$357.1499938964844,$376.6099853515625,$355.42999267578125
06/25/2026,$352.8299865722656,66179000,$362.7699890136719,$364.2300109863281,$349.20001220703125
06/24/2026,$365.4599914550781,44509900,$371.57000732421875,$378.8800048828125,$364.7799987792969
06/23/2026,$373.94000244140625,40647600,$372.3800048828125,$377.2200012207031,$370.6700134277344
06/22/2026,$367.3399963378906,45171100,$375.739990234375,$381.6300048828125,$367.07000732421875
06/18/2026,$379.3999938964844,59714200,$377.82000732421875,$381.3699951171875,$373.2799987792969
06/17/2026,$378.9100036621094,41987800,$390.25,$390.3699951171875,$377.32000732421875
06/16/2026,$393.8299865722656,31506800,$395.7900085449219,$396.8399963378906,$390.69000244140625
06/15/2026,$399.760009765625,32266400,$396.79998779296875,$401.75,$392.8500061035156
06/12/2026,$390.739990234375,34865800,$391.42999267578125,$391.739990234375,$382.2699890136719
06/11/2026,$390.3399963378906,47224100,$395.2099914550781,$396.8500061035156,$384
06/10/2026,$397.3599853515625,32576000,$398.54998779296875,$405.0400085449219,$397.1600036621094
06/09/2026,$403.4100036621094,35317300,$409.0299987792969,$411.9800109863281,$398.4800109863281
06/08/2026,$411.739990234375,32086700,$414.1400146484375,$417.1600036621094,$408.55999755859375
06/05/2026,$416.6700134277344,34782200,$428.3399963378906,$429.4700012207031,$414.3999938964844
06/04/2026,$428.04998779296875,26899500,$435.80999755859375,$436.1499938964844,$426.4100036621094
06/03/2026,$427.3399963378906,39037000,$438.45001220703125,$440.3900146484375,$424.25
06/02/2026,$441.30999755859375,37036800,$446.8800048828125,$453.5,$440.42999267578125
06/01/2026,$460.5199890136719,53628900,$464.8399963378906,$466.32000732421875,$458.2699890136719
05/29/2026,$450.239990234375,79654400,$432.54998779296875,$450.3299865722656,$432.3599853515625
05/28/2026,$426.989990234375,47250500,$412.9800109863281,$429.489990234375,$412.6700134277344
05/27/2026,$412.6700134277344,28901500,$411.010009765625,$415.94000244140625,$409.5799865722656
05/26/2026,$416.0299987792969,30398000,$416.42999267578125,$419.7699890136719,$413.0199890136719
05/22/2026,$418.57000732421875,22390300,$419.5400085449219,$424.3999938964844,$416.3299865722656
05/21/2026,$419.0899963378906,31393500,$424.75,$426.3399963378906,$415.7099914550781
05/20/2026,$421.05999755859375,27864000,$414.1700134277344,$422.1000061035156,$411.29998779296875
05/19/2026,$417.4200134277344,33018700,$429.8999938964844,$432.70001220703125,$416.489990234375
05/18/2026,$423.5400085449219,32564100,$416.6199951171875,$425.1199951171875,$415.6099853515625
05/15/2026,$421.9200134277344,50771200,$414.2699890136719,$428.1700134277344,$412.9100036621094
05/14/2026,$409.42999267578125,27077500,$404.4800109863281,$411.8399963378906,$400.8800048828125
05/13/2026,$405.2099914550781,29667100,$403.20001220703125,$406.30999755859375,$401.0299987792969
05/12/2026,$407.7699890136719,38594200,$414.4800109863281,$415.5,$406.6400146484375
05/11/2026,$412.6600036621094,35657900,$407.8699951171875,$412.69000244140625,$405.5
05/08/2026,$415.1199951171875,33383800,$417.3900146484375,$418.6300048828125,$414
05/07/2026,$420.7699890136719,34942400,$420.1099853515625,$427.9800109863281,$418.760009765625
05/06/2026,$413.9599914550781,30285900,$408,$418.4200134277344,$405.1099853515625
05/05/2026,$411.3800048828125,25700900,$415.32000732421875,$416.7799987792969,$408.79998779296875
05/04/2026,$413.6199951171875,28066500,$411.5400085449219,$420.7799987792969,$410.79998779296875
05/01/2026,$414.44000244140625,31372400,$412.79998779296875,$417.1099853515625,$410.44000244140625
04/30/2026,$407.7799987792969,70909400,$410.80999755859375,$414.4200134277344,$398.010009765625
04/29/2026,$424.4599914550781,38288300,$424.5799865722656,$426.82000732421875,$420.2900085449219
04/28/2026,$429.25,30438100,$424.57000732421875,$429.9200134277344,$421.8999938964844
04/27/2026,$424.82000732421875,30867300,$422.3800048828125,$427.1099853515625,$417.07000732421875
04/24/2026,$424.6199951171875,27457400,$416.9700012207031,$424.95001220703125,$415.79998779296875
04/23/2026,$415.75,38308000,$419.8900146484375,$423.6600036621094,$411.4100036621094
04/22/2026,$432.9200134277344,29378200,$426.19000244140625,$433.70001220703125,$423.6700134277344
04/21/2026,$424.1600036621094,32048500,$420.239990234375,$427.17999267578125,$417.20001220703125
04/20/2026,$418.07000732421875,27582200,$421.1499938964844,$423.3299865722656,$416.29998779296875
04/17/2026,$422.7900085449219,48568200,$424.82000732421875,$431.5799865722656,$420.69000244140625
04/16/2026,$420.260009765625,41642400,$419.8599853515625,$420.82000732421875,$412.1400146484375
04/15/2026,$411.2200012207031,45063400,$398,$414.3699951171875,$396.7300109863281
04/14/2026,$393.1099853515625,37504500,$387.9200134277344,$394.69000244140625,$386.5199890136719
04/13/2026,$384.3699951171875,35745800,$373.6099853515625,$384.5400085449219,$371.0199890136719
04/10/2026,$370.8699951171875,28111100,$372.9800109863281,$375.6400146484375,$370.0299987792969
04/09/2026,$373.07000732421875,30435300,$372.5,$373.5,$367.04998779296875
04/08/2026,$374.3299865722656,33064800,$384.9800109863281,$385,$371.4100036621094
04/07/2026,$372.2900085449219,21443300,$370.3399963378906,$372.45001220703125,$366.55999755859375
04/06/2026,$372.8800048828125,16146600,$373.489990234375,$373.7300109863281,$369.5
04/02/2026,$373.4599914550781,24099100,$367.2099914550781,$373.6400146484375,$364.1499938964844
04/01/2026,$369.3699951171875,29417200,$373.489990234375,$373.989990234375,$368.20001220703125
03/31/2026,$370.1700134277344,45244400,$364.54998779296875,$372.8999938964844,$363.07000732421875
03/30/2026,$358.9599914550781,44797000,$361.8999938964844,$365.3599853515625,$356.2799987792969
03/27/2026,$356.7699890136719,37883400,$361.8999938964844,$362.45001220703125,$356.510009765625
03/26/2026,$365.9700012207031,36836600,$370.82000732421875,$374.7200012207031,$365.19000244140625
03/25/2026,$371.0400085449219,31181200,$376.9200134277344,$377.05999755859375,$369.6300048828125
03/24/2026,$372.739990234375,42733600,$382.3599853515625,$382.4700012207031,$371.8500061035156
03/23/2026,$383,29680100,$383.8999938964844,$387.2099914550781,$381.67999267578125
03/20/2026,$381.8699951171875,50853200,$386.7900085449219,$387,$380.1199951171875
03/19/2026,$389.0199890136719,25138800,$390.1000061035156,$392.489990234375,$387.05999755859375
03/18/2026,$391.7900085449219,25908500,$397.1300048828125,$398,$391
03/17/2026,$399.4100036621094,26228300,$400.2699890136719,$404.3999938964844,$397.75
03/16/2026,$399.95001220703125,27733700,$398.07000732421875,$400.6300048828125,$394.7900085449219
03/13/2026,$395.54998779296875,26848000,$401,$404.79998779296875,$394.25
03/12/2026,$401.8599853515625,27263900,$404.6300048828125,$406.1199951171875,$401.7099914550781
03/11/2026,$404.8800048828125,25512100,$405.57000732421875,$409.010009765625,$401.5899963378906
03/10/2026,$405.760009765625,31706400,$410.0299987792969,$410.20001220703125,$402.92999267578125
03/09/2026,$409.4100036621094,30131900,$404.9200134277344,$410.2099914550781,$403.5
03/06/2026,$408.9599914550781,31123900,$409.20001220703125,$413.04998779296875,$408.510009765625
03/05/2026,$410.67999267578125,39001300,$404.4200134277344,$411.6099853515625,$404.3999938964844
03/04/2026,$405.20001220703125,35808000,$401.2699890136719,$411.0299987792969,$400.30999755859375
03/03/2026,$403.92999267578125,38199200,$393.1400146484375,$406.70001220703125,$392.6700134277344
03/02/2026,$398.54998779296875,35474900,$392.8599853515625,$401.19000244140625,$390.6300048828125
02/27/2026,$392.739990234375,51367200,$390.8800048828125,$396.82000732421875,$389.8800048828125
02/26/2026,$401.7200012207031,34405900,$404.7099914550781,$407.489990234375,$398.739990234375
02/25/2026,$400.6000061035156,43625500,$390.5299987792969,$401.4700012207031,$390.1600036621094
02/24/2026,$389,33884700,$384.1400146484375,$389.3599853515625,$381.7099914550781
02/23/2026,$384.4700012207031,43238300,$395,$395.3599853515625,$383.1000061035156
02/20/2026,$397.2300109863281,34015200,$396.1099853515625,$400.1199951171875,$395.1600036621094
02/19/2026,$398.4599914550781,28234000,$400.69000244140625,$404.42999267578125,$396.6700134277344
02/18/2026,$399.6000061035156,23223400,$398.1300048828125,$402.55999755859375,$396.32000732421875
