Date,Close/Last,Volume,Open,High,Low
07/17/2026,$333.739990234375,63365300,$331.9800109863281,$334.989990234375,$329
07/16/2026,$333.260009765625,62970600,$328.010009765625,$334.67999267578125,$326.7900085449219
07/15/2026,$327.5,60957600,$317.6199951171875,$328.7300109863281,$317.32000732421875
07/14/2026,$314.8599853515625,36336800,$313.760009765625,$316.19000244140625,$311.9100036621094
07/13/2026,$317.30999755859375,43257800,$317.0199890136719,$323.45001220703125,$315.7799987792969
07/10/2026,$315.32000732421875,34132300,$314.7200012207031,$316.9100036621094,$312.1700134277344
07/09/2026,$316.2200012207031,48124500,$310.510009765625,$316.5299987792969,$308.1600036621094
07/08/2026,$313.3900146484375,41323500,$311.9100036621094,$314.82000732421875,$307.04998779296875
07/07/2026,$310.6600036621094,42490000,$315.2900085449219,$315.4800109863281,$310.1499938964844
07/06/2026,$312.6600036621094,53590000,$307.3599853515625,$314.20001220703125,$307
07/02/2026,$308.6300048828125,75352800,$294.1199951171875,$309.4200134277344,$293.67999267578125
07/01/2026,$294.3800048828125,50164200,$293.44000244140625,$296.5899963378906,$289.20001220703125
06/30/2026,$289.3599853515625,65100200,$281.1700134277344,$289.94000244140625,$280.70001220703125
06/29/2026,$281.739990234375,66427000,$286.7300109863281,$288.3699951171875,$279.8500061035156
06/26/2026,$283.7799987792969,261775500,$275,$285.95001220703125,$274.2099914550781
06/25/2026,$275.1499938964844,107013700,$287.3999938964844,$288.79998779296875,$273.75
06/24/2026,$293.0799865722656,53081900,$295.3599853515625,$299.70001220703125,$292.94000244140625
06/23/2026,$294.29998779296875,52010900,$297.5400085449219,$301.6400146484375,$294.17999267578125
06/22/2026,$297.010009765625,44879900,$297.30999755859375,$302.4200134277344,$296.760009765625
06/18/2026,$298.010009765625,85962200,$298.1099853515625,$300.57000732421875,$295.6199951171875
06/17/2026,$295.95001220703125,42745100,$300.8500061035156,$302.07000732421875,$294.3599853515625
06/16/2026,$299.239990234375,39874400,$295.25,$300.4800109863281,$293.9700012207031
06/15/2026,$296.4200134277344,45732600,$294.1199951171875,$297.7799987792969,$291.70001220703125
06/12/2026,$291.1300048828125,38742100,$296.0299987792969,$297.1400146484375,$289.6199951171875
06/11/2026,$295.6300048828125,42572500,$293.7200012207031,$297,$289.5899963378906
06/10/2026,$291.5799865722656,52793300,$290.739990234375,$294.75,$287.3800048828125
06/09/2026,$290.54998779296875,70108800,$300.2799987792969,$300.75,$287.7799987792969
06/08/2026,$301.5400085449219,77949100,$308.739990234375,$317.3999938964844,$301.1700134277344
06/05/2026,$307.3399963378906,65310500,$312.8599853515625,$315.1700134277344,$307.1499938964844
06/04/2026,$311.2300109863281,44869100,$313.2300109863281,$313.5400085449219,$309.6499938964844
06/03/2026,$310.260009765625,50836700,$314.17999267578125,$316.94000244140625,$308.8500061035156
06/02/2026,$315.20001220703125,44534700,$307.4599914550781,$315.45001220703125,$306.69000244140625
06/01/2026,$306.30999755859375,48849900,$309.6300048828125,$310.94000244140625,$305.0199890136719
05/29/2026,$312.05999755859375,70026800,$311.7799987792969,$315,$309.5299987792969
05/28/2026,$312.510009765625,48220400,$310.67999267578125,$312.79998779296875,$309.57000732421875
05/27/2026,$310.8500061035156,50430900,$308.3299865722656,$313.260009765625,$308.29998779296875
05/26/2026,$308.3299865722656,48000500,$309.55999755859375,$311.82000732421875,$307.6700134277344
05/22/2026,$308.82000732421875,43670200,$306.1199951171875,$311.3999938964844,$305.8399963378906
05/21/2026,$304.989990234375,42965100,$301.05999755859375,$305.5400085449219,$300.3999938964844
05/20/2026,$302.25,38229800,$298.17999267578125,$302.79998779296875,$298.0799865722656
05/19/2026,$298.9700012207031,42243600,$296.9700012207031,$300.510009765625,$296.3500061035156
05/18/2026,$297.8399963378906,34483000,$300.239990234375,$300.6600036621094,$294.9100036621094
05/15/2026,$300.2300109863281,54862800,$297.8999938964844,$303.20001220703125,$296.5199890136719
05/14/2026,$298.2099914550781,35324900,$299.82000732421875,$300.45001220703125,$295.3800048828125
05/13/2026,$298.8699951171875,52684300,$293.5,$300.9200134277344,$293.5
05/12/2026,$294.79998779296875,45748100,$292.55999755859375,$295.2699890136719,$292.55999755859375
05/11/2026,$292.67999267578125,42247300,$291.9800109863281,$293.8800048828125,$290.2300109863281
05/08/2026,$293.32000732421875,52692800,$290.010009765625,$294.760009765625,$290
05/07/2026,$287.44000244140625,45224300,$289.2699890136719,$292.1300048828125,$285.7799987792969
05/06/2026,$287.510009765625,58336100,$281.9200134277344,$288.0299987792969,$281.07000732421875
05/05/2026,$284.17999267578125,49311700,$276.92999267578125,$284.57000732421875,$276.5
05/04/2026,$276.8299865722656,46668400,$279.6600036621094,$280.6300048828125,$274.8599853515625
05/01/2026,$280.1400146484375,79915400,$278.8599853515625,$287.2200012207031,$278.3699951171875
04/30/2026,$271.3500061035156,91848200,$270.5,$276,$268.1400146484375
04/29/2026,$270.1700134277344,30047900,$267.54998779296875,$271.0400085449219,$267.0400085449219
04/28/2026,$270.7099914550781,40018900,$272.3399963378906,$273.2300109863281,$268.6600036621094
04/27/2026,$267.6099853515625,41466800,$266.0899963378906,$268.3599853515625,$265.07000732421875
04/24/2026,$271.05999755859375,38157100,$272.760009765625,$273.05999755859375,$269.6499938964844
04/23/2026,$273.42999267578125,33399600,$275.04998779296875,$275.7699890136719,$271.6499938964844
04/22/2026,$273.1700134277344,43249200,$267.82000732421875,$273.739990234375,$266.8699951171875
04/21/2026,$266.1700134277344,50209800,$271.5,$272.79998779296875,$265.3999938964844
04/20/2026,$273.04998779296875,36590200,$270.3299865722656,$274.2799987792969,$270.2900085449219
04/17/2026,$270.2300109863281,61436200,$266.9599914550781,$272.29998779296875,$266.7200012207031
